feature,importance
f8,0.5836343147718592
f6,0.07025235743359787
f9,0.056136139299108684
f14,0.04961751317007871
f2,0.026930593447624093
f5,0.025315848694648774
f7,0.02408938265783106
f3,0.022725553326820035
f17,0.019681003110853426
f4,0.016059443656052205
f15,0.014479689025335848
f28,0.01311665179868253
f12,0.01165951301137381
f1,0.007545955926402934
f11,0.006337491204407859
f20,0.00608832068112752
f32,0.004771542133401847
f18,0.004342551096428742
f0,0.004079395738097194
f36,0.004003070791276564
f22,0.003725810840286454
f16,0.003391398364505997
f19,0.002947206286891968
f27,0.002893591079161349
f25,0.0028221598947165438
f21,0.002737645428423548
f13,0.002450583417383525
f24,0.002319974407147112
f23,0.0022355864608588818
f10,0.002203703984870911
f26,0.0012678333694493152
f35,0.00013817549129535285
f29,0.0
f31,0.0
f30,0.0
f34,0.0
f33,0.0
