feature,importance
f9,0.18839786338859976
f29,0.1643590286946022
f28,0.12611594008446075
f14,0.07952439093088684
f3,0.06591249312002212
f15,0.06567633406825564
f1,0.05690267940294766
f2,0.049179683485053624
f8,0.02892645900009019
f22,0.025160455341602727
f10,0.021390840738767698
f17,0.02055728274625323
f12,0.020238957591732182
f23,0.01893831480428508
f5,0.013191042228426252
f20,0.010873046967680464
f4,0.008366585136464218
f21,0.007093318730761314
f18,0.006573102524188658
f13,0.004902413260986576
f25,0.004835638591217181
f26,0.0033919253576082096
f34,0.0030097310889193535
f27,0.0014888029706781791
f24,0.0008757154029833809
f11,0.0006966480850653025
f0,0.0006536963390654273
f6,0.0005947774984453659
f16,0.00048610340748007105
f19,0.00043175018726653844
f35,0.0004244548864407175
f31,0.0003405884761479428
f7,0.0002862778062472206
f36,0.0002036576563678441
f30,0.0
f32,0.0
f33,0.0
