feature,importance
f14,0.693576973389187
f22,0.20308368128940826
f32,0.04167685021188114
f18,0.018755018423510104
f16,0.01058635890314403
f10,0.0024757234109161986
f9,0.002400028627294286
f7,0.0021884759954191833
f6,0.002015704052096327
f15,0.001928554912795577
f12,0.001897309781879974
f0,0.0017030582104640346
f11,0.001644669738553099
f19,0.0013643744596100829
f23,0.001321284939860233
f20,0.001082619387058091
f28,0.0010482264335130802
f27,0.0010125686842444648
f8,0.0009371255548967751
f2,0.0009259096162927895
f21,0.0009031626388488465
f24,0.0008672711815638702
f13,0.0008573113998415303
f1,0.0008082865195052473
f17,0.000798996472846224
f36,0.0006886983980128937
f5,0.000678539909087713
f3,0.0006675514360109338
f4,0.0006435682169233163
f26,0.0006053896640589813
f25,0.000457909166907333
f34,0.00016566856236865986
f30,0.00012305330032579567
f35,0.0001100771116742325
f29,0.0
f31,0.0
f33,0.0
